target	finding	context	correctness_rationale	scope_label	scope_detail	missed_label	missed_detail	updated_grade_override	updated_explanation	process_grade_override	process_explanation	lock_grade_override	lock_explanation
raw	The unthemed control measures command and PTY overhead without Git or prompt work.	No cutoff or missing feature applies because this target is only the measurement control.	No theme semantics apply.	None	Intentionally unthemed.	N/A	This is the raw Zsh control.	N/A	The control has no Git state.	N/A	The control runs no Git processes.	N/A	The control makes no Git calls.
wakamex	One background status scan returns an editable prompt near the raw floor and repaints when dirty or untracked state arrives.	It omits stash count and commit age, features that add work in bureau and Soliah respectively.	Branch, detached HEAD, staged, unstaged, and untracked behavior passed every applicable check.	Broad	Branch, detached tag or SHA, staged, unstaged, untracked, topology, and repository actions.	None	The current custom worker supplies asynchronous execution and optional-lock suppression.	auto	auto	auto	auto	auto	auto
robbyrussell	OMZ's shared asynchronous helper returns input before five Git processes finish and then repaints with current state.	The theme predates OMZ's async implementation, but current OMZ runs its literal shared git_prompt_info call asynchronously without a theme update.	Branch plus clean or generic dirty state passed every applicable check, including staged and detached HEAD.	Standard	Branch plus generic clean or dirty state.	None	Its literal shared-helper call uses current OMZ behavior.	auto	auto	auto	auto	auto	auto
agnoster	Broad synchronous Git and VCS reporting runs 16 Git processes before the prompt becomes editable.	The theme was updated after both OMZ improvements, but its 2025 Terraform change did not migrate the direct Git work.	Branch, detached HEAD, and all tested worktree states rendered correctly.	Broad	Branch, detached state, worktree state, topology, repository actions, and several non-Git segments.	Async; locks on 14/16 calls	The measured path lacks asynchronous execution and optional-lock suppression on 14 of 16 calls.	auto	auto	auto	auto	auto	auto
bureau	A broad custom collector puts five unsuppressed Git processes on the prompt's critical path.	The theme's 2023 stash update could have used OMZ's lock wrapper, while practical shared async support arrived in 2024.	Branch, detached HEAD, staged, tracked-dirty, and untracked state rendered correctly.	Broad	Branch, detached SHA, staged, unstaged, untracked, unmerged, topology, and stash state.	Async; locks on 5/5 calls	The measured path lacks asynchronous execution and optional-lock suppression on all five calls.	auto	auto	auto	auto	auto	auto
Soliah	Four synchronous calls delay the prompt, and a nested helper mislabels an ordinary branch as detached.	The theme was last touched during OMZ's 2024 async rollout, but current OMZ cannot register the shared helper while it is hidden inside this wrapper.	The detached-HEAD scenario passes, but ordinary clean, dirty, untracked, and staged workflows persistently show the wrong branch state.	Standard plus commit age	Branch, generic dirty state, detached label, and last-commit age.	Async registration; locks on 4/4 calls	The nested helper needs async registration, and all four measured calls lack optional-lock suppression.	auto	auto	auto	auto	auto	auto
steeef	Its cache avoids prompt-time Git work because ordinary file-changing commands fail to invalidate it.	The theme has not changed since 2018, and current OMZ cannot repair its custom invalidation rule through a shared-helper update.	Clean, staged, and detached-HEAD checks pass, but ordinary dirty and untracked commands leave the cached prompt persistently stale.	Broad when refreshed	Branch, staged, unstaged, untracked, and repository action state when the cache refreshes.	Async; optional locks	The cache refresh path lacks asynchronous execution and optional-lock suppression.	Fail	No scan ran to observe the measured dirty and untracked transitions.	NR	Zero measured calls reflect stale-cache behavior rather than efficient refresh.	NR	Initial collection made nine unsuppressed calls, while the stale measured path made none.
apple	Synchronous vcs_info hides seven Git calls behind a theme with no direct Git invocation sites.	Its 2023 icon update could have added lock suppression and untracked detection, while OMZ's shared async helpers do not apply to its separate vcs_info path.	Branch, detached HEAD, staged, and tracked-dirty behavior passed; untracked state correctly remains clean because the theme does not advertise untracked detection.	Standard	Branch, staged, unstaged, and repository action state across Git, CVS, and SVN.	Async; locks on 7/7 calls	The measured path lacks asynchronous execution and optional-lock suppression on all seven calls.	auto	auto	auto	auto	auto	auto
mortalscumbag	A status scan and two materialized log ranges put seven Git processes on every prompt's critical path.	The theme's 2026 escaping fix followed both OMZ improvements, but direct scans and the origin/branch assumption remain.	Branch, detached HEAD, staged, tracked-dirty, and untracked state rendered correctly.	Broad	Branch, staged, unstaged, untracked, unmerged, and ahead or behind state.	Async; locks on 4/7 calls	The measured path lacks asynchronous execution and optional-lock suppression on four of seven calls.	auto	auto	auto	auto	auto	auto
ys	OMZ's shared asynchronous helper returns the editable multi-line prompt before five Git processes finish, then repaints with current state.	The theme has no direct Git calls; its literal shared helper inherits current OMZ asynchronous execution and optional-lock suppression.	Branch plus clean or generic dirty state passed every applicable check, including staged and detached HEAD.	Standard	Branch plus generic clean or dirty state, with separate SVN and Mercurial prompt support.	None	Its literal shared-helper call uses current OMZ behavior.	auto	auto	auto	auto	auto	auto
bira	OMZ's shared asynchronous helper returns the editable multi-line prompt before five Git processes finish, then repaints with current state.	Optional environment segments do not add Git work in this fixture, and its literal shared Git helper inherits current OMZ behavior.	Branch plus clean or generic dirty state passed every applicable check, including staged and detached HEAD.	Standard	Branch plus generic clean or dirty state, with Mercurial and optional environment segments.	None	Its literal shared-helper call uses current OMZ behavior.	auto	auto	auto	auto	auto	auto
pure	Pure returns input near 11 ms and repaints around 24 ms after six Git processes complete.	Background fetch was disabled for the offline comparison; the released status, VCS, topology, and stash tasks remained active.	Branch, detached HEAD, and clean, staged, unstaged, and untracked state passed every applicable check.	Broad	Branch, detached state, generic worktree state, topology, repository actions, and stash state.	Locks on 5/6 calls	Five of the six measured Git calls lack optional-lock suppression; the working-tree status scan suppresses locks.	auto	auto	auto	auto	auto	auto
